"","Species","German_name","Family","Suborder","germanRange","since","Flight_start","Flight_end","Taxon","Genus","Habitat","Endemic.to.Europe","EU.Red.List.Europe","Habitat.Directive","Threath.status.on.European.Red.List","species","lowerLat","upperLat","minLong","maxLong","nuEuroGrids","species..German.","development.time..max.","development.time..min.","devTime","Voltinism_Corbet","Migration","meanTemp","medTemp","sdTemp","medAb","medHw","Generalism","Flow","stream","river","pond","lake","marsh.wetlands","ditch","canal","fens","heath.moor","bog","woodland.forest","sand.gravel.pits.quarries","man.made","seasonal","Reference","VoltinismProp","Overwintering","Uni","RedList","GermanRedList"
"40","Gomphus vulgatissimus","Gemeine Keiljungfer ","Gomphidae","Anisoptera",30.8,24.8,5.2,6.3,"Calopteryx xanthostoma (Charpentier, 1825)","Gomphus","Running","No","Least Concern","No","No","vulgatissimus","38,59985","65,14504","-0,08245","9,99715",1747,"Gemeine Keiljungfer",2,4,3,"P/S","",8.90733734990942,8.78693074176186,2.38848255700628,35,30.5,"specialist","running",2,2,0,0,0,1,0,0,0,0,0,0,0,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",1.35,"Larva",0.5,"near threatened","V"
"41","Ischnura elegans","Grosse Pechlibelle ","Coenagrionidae","Zygoptera",94.6,84.5,6.2,7.3,"Libellula depressa Linnaeus, 1758","Ischnura","Standing","No","Least Concern","No","No","elegans","34,56907","66,04189","-0,01000","9,99715",3652,"Große Pechlibelle",0.5,1,0.75,"S/U/B/M","",9.56771599282517,9.30191163635542,2.91814633920142,25.5,17.5,"generalist","standing, slow-flowing",1,1,2,1,0,2,2,0,0,0,0,0,0,0,"https://british-dragonflies.org.uk/odonata/habitats/",3.5,"Larva",3,"least concern","*"
"42","Ischnura pumilio","Kleine Pechlibelle ","Coenagrionidae","Zygoptera",51.8,34.1,6.3,8.2,"Nehalennia speciosa (Charpentier, 1840)","Ischnura","Standing","No","Least Concern","No","No","pumilio","32,75405","61,56265","-0,05460","9,99715",2161,"Kleine Pechlibelle",0.5,1,0.75,"U/B/M","",10.2130488068828,9.91210557295677,2.78235301582853,23.5,16,"generalist","standing, slow-flowing",0,0,2,0,0,2,0,0,0,0,0,2,0,2,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",3.8,"Larva",4,"near threatened","V"
"43","Lestes barbarus","Südliche Binsenjungfer ","Lestidae","Zygoptera",37,39.3,7.2,8.3,"Onychogomphus uncatus (Charpentier, 1840)","Lestes","Standing","No","Least Concern","No","No","barbarus","34,57145","56,62356","-0,08245","9,99715",1855,"Südliche Binsenjungfer",0.08,0.15,0.12,"","",10.6795108989773,10.2710193978046,2.82810597951209,30.5,23.5,"specialist","standing",0,0,2,2,2,0,0,0,0,2,0,2,0,2,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",3,"Egg",10,"least concern","*"
"44","Lestes dryas","Glänzende Binsenjungfer ","Lestidae","Zygoptera",49.2,34.2,6.2,8.2,"Ophiogomphus cecilia (Fourcroy, 1785)","Lestes","Standing","No","Least Concern","No","No","dryas","35,43563","66,49027","-0,05460","9,98883",1881,"Glänzende Binsenjungfer",0.25,0.5,0.38,"U","",9.09966209826712,8.81809904220256,2.75410049852553,29.5,22.5,"specialist","standing",0,0,2,2,0,0,0,0,0,2,0,2,0,2,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",3,"Egg",10,"vulnerable","3"
"45","Lestes macrostigma","Dunkle Binsenjungfer ","Lestidae","Zygoptera",0.2,0.1,6.1,7.1,"Orthetrum albistylum (Selys, 1848)","Lestes","Standing","No","Vulnerable","No","Yes","macrostigma","34,57147","54,79640","-0,72204","9,87909",241,NA,NA,NA,NA,NA,NA,12.8116018420612,12.9396382885062,3.03572283261174,34.5,25.5,"specialist","standing",0,0,2,0,2,0,0,0,0,0,0,0,0,1,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",3,"Egg",10,"not listed",NA
"46","Lestes sponsa","Gemeine Binsenjungfer ","Lestidae","Zygoptera",85.7,68.5,6.2,8.3,"Orthetrum brunneum (Fonscolombe, 1837)","Lestes","Standing","No","Least Concern","No","No","sponsa","39,07593","67,83520","-0,01000","9,99715",2868,"Gemeine Binsenjungfer",0.25,0.5,0.38,"U","",8.05341741239076,8.29473904561305,2.62362217862861,29,20.5,"generalist","standing",0,0,2,2,0,2,0,0,0,2,0,0,0,1,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",3,"Egg",10,"least concern","*"
"47","Lestes virens","Kleine Binsenjungfer ","Lestidae","Zygoptera",38.9,27.6,8.1,9.1,"Orthetrum cancellatum (Linnaeus, 1758)","Lestes","Standing","No","Least Concern","No","No","virens","35,89856","61,09457","-0,14621","9,99715",1721,"Kleine Binsenjungfer",0.25,0.5,0.38,"","",10.1365584807327,9.62529356653283,2.83860027790192,28.5,21,"specialist","standing",0,0,2,2,2,0,0,0,2,2,2,0,0,1,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",3,"Egg",10,"least concern","*"
"48","Leucorrhinia albifrons","Östliche Moosjungfer ","Libellulidae","Anisoptera",5.5,4,6.2,7.2,"Orthetrum chrysostigma (Burmeister, 1839)","Leucorrhinia","Standing","No","Near Threatened","Yes","No","albifrons","43,09916","65,14504","-0,16958","9,44312",569,"Östliche Moosjungfer",2,2,2,"","",6.95286096764328,6.88618330053381,2.19139356362786,24.5,25.5,"specialist","standing",0,0,0,2,0,0,0,0,0,2,2,0,0,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",1.8,"Larva",1,"endangered","2"
"49","Leucorrhinia caudalis","Zierliche Moosjungfer ","Libellulidae","Anisoptera",6,4.5,6.1,6.2,"Orthetrum coerulescens (Fabricius, 1798)","Leucorrhinia","Standing","No","Near Threatened","Yes","No","caudalis","44,46198","64,70382","-0,16958","9,38105",551,"Zierliche Moosjungfer",2,2,2,"U","",7.53115789129078,7.74543793087914,2.4035022986678,24,30.5,"specialist","standing",0,0,0,2,0,0,0,0,0,2,2,1,0,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",1.8,"Larva",1,"vulnerable","3"
"50","Leucorrhinia dubia","Kleine Moosjungfer ","Libellulidae","Anisoptera",33.4,22.5,6.1,7.1,"Orthetrum nitidinerve (Selys, 1841)","Leucorrhinia","Standing","No","Least Concern","No","No","dubia","42,19963","70,08566","-0,27994","9,99715",1470,"Kleine Moosjungfer",2,4,3,"P/S","",5.97934917202491,6.65201410315469,3.04144927782442,24,25.5,"specialist","standing",0,0,2,1,0,0,0,2,0,2,2,0,0,1,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",1.6,"Larva",1,"vulnerable","3"
"51","Leucorrhinia pectoralis","Grosse Moosjungfer ","Libellulidae","Anisoptera",25.7,18.5,5.2,6.3,"Orthetrum sabina (Drury, 1773)","Leucorrhinia","Standing","No","Least Concern","Yes","No","pectoralis","40,88071","65,60104","-0,18085","9,97277",1120,"Große Moosjungfer",2,3,2.5,"P/S","",8.04771916243134,8.13271731192913,1.94988152533832,25,31.5,"specialist","standing, slow-flowing",0,0,2,2,0,2,2,2,0,2,2,2,0,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",1.8,"Larva",1,"vulnerable","3"
"52","Leucorrhinia rubicunda","Nordische Moosjungfer ","Libellulidae","Anisoptera",24.9,17.9,5.2,6.2,"Orthetrum taeniolatum (Schneider, 1845)","Leucorrhinia","Standing","No","Least Concern","No","No","rubicunda","46,72196","70,52417","1,25193","9,51078",1118,"Nordische Moosjungfer",2,2,2,"","",6.11109321725627,6.80661699532399,3.02135878073049,25.5,29,"specialist","standing",0,0,2,2,0,0,0,2,0,2,2,0,0,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",1.6,"Larva",1,"vulnerable","3"
"53","Libellula depressa","Plattbauch ","Libellulidae","Anisoptera",84.9,69.2,5.3,7.1,"Orthetrum trinacria (Selys, 1841)","Libellula","Standing","No","Least Concern","No","No","depressa","35,43533","63,78494","-0,02526","9,99715",3003,"Plattbauch",1,2,1.5,"S/U","",9.74196080138863,9.5005563158984,2.91280646387356,26.5,35,"generalist","standing, slow-flowing",0,2,2,2,0,0,0,0,0,0,0,0,2,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",2.9,"Larva",9,"least concern","*"
"54","Libellula fulva","Spitzenfleck ","Libellulidae","Anisoptera",19,15.9,5.3,7.1,"Oxygastra curtisii (Dale, 1834)","Libellula","Standing","No","Least Concern","No","No","fulva","36,36691","62,43994","-0,02526","9,97277",1411,"Spitzenfleck",2,2,2,"S","",10.2039530624395,10.0413314046675,2.6297229938551,27,35,"specialist","standing, slow-flowing",0,2,2,2,2,2,2,0,0,0,0,1,0,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",2.3,"Larva",3,"least concern","*"
"55","Libellula quadrimaculata","Vierfleck ","Libellulidae","Anisoptera",84.4,72.3,5.3,7.1,"Pantala flavescens (Fabricius, 1798)","Libellula","Standing","No","Least Concern","No","No","quadrimaculata","36,82293","69,63732","-0,01000","9,99715",3134,"Vierfleck",1,2,1.5,"U","",8.25524248385024,8.42010648019852,2.98799009520316,29.5,36,"generalist","standing",0,0,2,2,0,2,0,2,0,2,0,0,0,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",2.7,"Larva",7,"least concern","*"
"56","Nehalennia speciosa","Zwerglibelle ","Coenagrionidae","Zygoptera",3,1.8,6.1,7.1,"Platycnemis acutipennis Selys, 1841","Nehalennia","Standing","No","Least Concern","No","No","speciosa","45,37225","61,56265","10,00568","9,97277",259,"Zwerglibelle",1,1,1,"","",7.38177282791906,7.45632666357139,1.34685183669467,22,13.5,"specialist","standing",0,0,2,2,2,0,0,2,0,2,2,0,0,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",2.8,"Larva",8,"critically endangered","1"
"57","Onychogomphus forcipatus","Kleine Zangenlibelle ","Gomphidae","Anisoptera",15.5,12.5,6.3,8.1,"Chalcolestes viridis (Vander Linden, 1825)","Onychogomphus","Running","No","Least Concern","No","No","forcipatus","34,57145","65,14504","-0,13409","9,97277",1947,"Kleine Zangenlibelle",3,3,3,"P","",10.0237292142602,9.8817983893461,3.40951836757911,34,27.5,"specialist","running",2,2,0,1,0,0,0,0,0,0,0,0,0,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",1.4,"Larva",0,"near threatened","V"
"58","Onychogomphus uncatus","Grosse Zangenlibelle ","Gomphidae","Anisoptera",0.1,0,6.3,8.1,"Coenagrion armatum (Charpentier, 1840)","Onychogomphus","Running","No","Least Concern","No","No","uncatus","35,89856","50,33154","-0,13409","9,94285",468,NA,NA,NA,NA,NA,NA,12.66765530112,12.6146020130678,2.26661946277444,38,31,"specialist","running",2,2,0,0,0,0,0,0,0,0,0,0,0,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",1.4,"Larva",0,"regionally extinct","0"
"59","Ophiogomphus cecilia","Grüne Flussjungfer ","Gomphidae","Anisoptera",22.2,18.9,7.2,8.2,"Coenagrion caerulescens (Fonscolombe, 1838)","Ophiogomphus","Running","No","Least Concern","Yes","No","cecilia","40,86250","67,38664","-0,16958","9,96502",892,"Grüne Keiljungfer",3,4,3.5,"P/S","",8.05673479045141,8.26255046606064,2.37391615426034,39.5,33,"specialist","running",2,2,0,0,0,0,0,0,0,0,0,0,0,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",1.4,"Larva",0,"least concern","*"
"60","Orthetrum albistylum","Östlicher Blaupfeil ","Libellulidae","Anisoptera",1.2,0.8,6.2,7.3,"Platycnemis dealbata","Orthetrum","Standing","No","Least Concern","No","No","albistylum","35,43563","55,27584","-0,15804","9,97277",968,NA,NA,NA,NA,NA,NA,10.1337541084183,10.3208273194053,2.19670505857881,33.5,35.5,"generalist","standing (slow-flowing)",0,0,2,1,0,0,0,0,0,0,0,2,2,1,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",3.5,"Larva",5,"vulnerable","R"
"61","Orthetrum brunneum","Südlicher Blaupfeil ","Libellulidae","Anisoptera",25.9,20.1,6.3,8.1,"Platycnemis latipes Rambur, 1842","Orthetrum","Standing","No","Least Concern","No","No","brunneum","34,57145","57,52182","-0,14621","9,99715",1907,"Südlicher Blaupfeil",1,2,1.5,"U/B","",11.1669391929119,10.8903770882596,2.96720784827868,28.5,35,"generalist","standing, running",2,2,2,2,0,2,0,0,0,0,0,2,0,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",3.5,"Larva",5,"least concern","*"
"62","Orthetrum cancellatum","Grosser Blaupfeil ","Libellulidae","Anisoptera",85.2,73.4,6.1,7.3,"Platycnemis pennipes (Pallas, 1771)","Orthetrum","Standing","No","Least Concern","No","No","cancellatum","34,57145","63,78494","-0,02526","9,99715",3035,"Großer Blaupfeil",1,3,2,"S/B","",10.1590657849382,9.74468326568604,3.1466996836185,32,38,"generalist","standing, slow-flowing",0,2,2,2,2,0,2,2,0,0,0,0,2,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",3.1,"Larva",5,"least concern","*"
"63","Orthetrum coerulescens","Kleiner Blaupfeil ","Libellulidae","Anisoptera",22.9,17.8,6.3,8.1,"Pyrrhosoma elisabethae Schmidt, 1948","Orthetrum","Standing","No","Least Concern","No","No","coerulescens","34,57145","62,43994","-0,05569","9,99715",2293,"Kleiner Blaupfeil",1,2,1.5,"U/B","",10.7894057060563,10.387257754943,3.14440179518222,30.5,30.5,"specialist","running",2,0,0,0,1,2,0,0,0,1,0,1,0,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",2.9,"Larva",5,"near threatened","V"
"64","Oxygastra curtisii","Gekielter Flussfalke ","incertae_sedis","",0.2,0.1,6.2,7.3,"Coenagrion hylas (Trybom, 1889)","Oxygastra","Running","No","Near Threatened","Yes","No","curtisii","35,89856","51,65354","-0,13409","9,97277",441,NA,NA,NA,NA,NA,NA,12.1011573938087,11.9137023728469,2.24431705086071,36,34.5,"specialist","running",2,0,0,0,0,0,0,0,0,0,0,0,0,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",1.4,"Larva",0,"vulnerable","R"
"65","Platycnemis pennipes","Blaue Federlibelle ","Platycnemididae","Zygoptera",73.1,63.1,6.2,7.3,"Somatochlora flavomaculata (Vander Linden, 1825)","Platycnemis","Standing","No","Least Concern","No","No","pennipes","35,00759","65,57811","-0,02526","9,99715",2853,"Gemeine Federlibelle",1,2,1.5,"U","",9.29189635288324,9.13930907147996,2.85220271388022,29,21,"generalist","standing, slow-flowing",2,2,2,2,0,0,0,0,0,0,0,2,0,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",2.6,"Larva",6,"least concern","*"
"66","Pyrrhosoma nymphula","Frühe Adonislibelle ","Coenagrionidae","Zygoptera",89.6,77,5.3,7.1,"Somatochlora meridionalis Nielsen, 1935","Pyrrhosoma","Standing","No","Least Concern","No","No","nymphula","36,33597","66,94676","-0,02526","9,99715",2913,"Frühe Adonislibelle",1,3,2,"S/U","",9.03259384848718,8.91735275039274,3.00191185494892,27.5,21.5,"generalist","standing, running",2,2,2,2,2,0,2,2,0,2,0,0,2,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",2.3,"Larva",3,"least concern","*"
"67","Somatochlora alpestris","Alpen Smaragdlibelle ","Corduliidae","Anisoptera",2.3,1.2,6.3,8.2,"Somatochlora sahlbergi Trybom, 1889","Somatochlora","Standing","No","Least Concern","No","No","alpestris","44,02260","70,53387","10,00568","9,99715",367,"Alpen-Smaragdlibelle",2,5,3.5,"P/S","",3.37285367886776,3.39478649232621,3.41491277749508,33.5,32,"specialist","standing",0,0,0,0,0,0,0,0,0,2,0,0,2,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",1.3,"Larva",0,"critically endangered","1"
"68","Somatochlora arctica","Arktische Smaragdlibelle ","Corduliidae","Anisoptera",7.2,5,6.3,8.2,"Sympecma fusca (Vander Linden, 1820)","Somatochlora","Standing","No","Least Concern","No","No","arctica","42,19963","70,53387","-3,39839","9,99715",741,"Arktische Smaragdlibelle",2,5,3.5,"P","",5.4105681491503,6.12730757267244,3.26146120398147,33.5,31.5,"specialist","standing",0,0,0,0,2,0,0,0,2,2,2,0,0,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",1.4,"Larva",0,"endangered","2"
"69","Somatochlora flavomaculata","Gefleckte Smaragdlibelle ","Corduliidae","Anisoptera",23.2,16.3,6.3,7.3,"Sympecma paedisca (Brauer, 1877)","Somatochlora","Standing","No","Least Concern","No","No","flavomaculata","39,07876","67,83520","-0,16958","9,99715",1193,"Gefleckte Smaragdlibelle",3,3,3,"P","",8.20851161409163,8.18252889718209,2.39719242895428,38.5,35.5,"specialist","standing, slow-flowing",0,0,2,2,2,0,0,2,0,2,0,0,0,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",1.4,"Larva",0,"vulnerable","3"
"70","Somatochlora metallica","Glänzende Smaragdlibelle ","Corduliidae","Anisoptera",73.3,57.9,6.3,8.2,"Sympetrum danae (Sulzer, 1776)","Somatochlora","Standing","No","Least Concern","No","No","metallica","41,75012","70,08555","-0,06871","9,99715",2134,"Glänzende Smaragdlibelle",2,3,2.5,"P/S","",6.86289469783162,7.58673917078504,3.27241512534567,40.5,36,"specialist","standing, slow-flowing",0,0,2,2,0,0,0,2,2,2,2,0,0,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",1.5,"Larva",0,"least concern","*"
"71","Sympecma fusca","Gemeine Winterlibelle ","Lestidae","Zygoptera",53.6,45.5,4.2,8.1,"Sympetrum flaveolum (Linnaeus, 1758)","Sympecma","Standing","No","Least Concern","No","No","fusca","34,56907","60,64638","-0,05569","9,99715",2003,"Gemeine Winterlibelle",0.17,0.25,0.21,"U","",10.4785513964443,10.0746837256367,2.84981607301982,27.5,20.5,"generalist","standing, slow-flowing",0,0,2,2,2,0,0,0,0,2,0,2,0,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",3,"Other",10,"least concern","*"
"72","Sympecma paedisca","Sibirische Winterlibelle ","Lestidae","Zygoptera",3.9,2.7,5.2,9.1,"Sympetrum fonscolombii (Selys, 1840)","Sympecma","Standing","No","Least Concern","Yes","No","paedisca","43,56229","62,00480","10,00568","9,99715",368,"Sibirische Winterlibelle",0.17,0.33,0.25,"U","",7.30457207172925,7.35941545817317,1.60400511379067,27,20,"generalist","standing",0,0,0,2,0,0,0,2,0,2,2,2,0,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",3,"Other",10,"critically endangered","1"
"73","Sympetrum danae","Schwarze Heidelibelle ","Libellulidae","Anisoptera",70.5,51.7,7.3,9.1,"Sympetrum meridionale (Selys, 1841)","Sympetrum","Standing","No","Least Concern","No","No","danae","42,67887","69,18886","-0,05460","9,99715",2278,"Schwarze Heidelibelle",0.17,0.5,0.33,"U","",7.28242463681067,7.88358745378317,2.5685912869644,22,25,"specialist","standing, slow-flowing",0,0,2,2,0,0,0,0,2,2,0,0,0,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",3,"Larva",10,"least concern","*"
"74","Sympetrum depressiusculum","Sumpf Heidelibelle ","Libellulidae","Anisoptera",10.1,4,7.3,9.1,"Sympetrum nigrifemur (Selys, 1884)","Sympetrum","Standing","No","Vulnerable","No","Yes","depressiusculum","37,27351","56,15845","-0,16958","9,99715",616,"Sumpf-Heidelibelle",0.5,0.5,0.5,"U","",9.23006443175134,8.985029414091,2.22091578893575,22,26,"specialist","standing",0,0,2,2,0,0,0,0,0,0,0,0,0,2,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",3,"Egg",10,"critically endangered","1"
"75","Sympetrum flaveolum","Gefleckte Heidelibelle ","Libellulidae","Anisoptera",61.3,44.9,7.3,8.3,"Sympetrum pedemontanum (Müller in Allioni, 1766)","Sympetrum","Standing","No","Least Concern","No","No","flaveolum","39,97980","67,84372","-0,05460","9,99715",2160,"Gefleckte Heidelibelle",0.5,0.5,0.5,"B","",8.11642768383094,8.26870833222683,2.35201974306194,23,27.5,"specialist","standing",0,0,0,2,0,0,0,2,0,2,0,2,0,1,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",3,"Larva",10,"vulnerable","3"
"76","Sympetrum fonscolombii","Frühe Heidelibelle ","Libellulidae","Anisoptera",22.4,19.8,6.1,7.2,"Sympetrum sanguineum (Müller, 1764)","Sympetrum","Standing","No","Least Concern","No","No","fonscolombii","27,80251","61,09492","-0,02526","9,99715",2072,"Frühe Heidelibelle",0.13,0.25,0.19,"B/M","M",11.3928161348625,10.8403390464259,3.20827999735255,25.5,28.5,"specialist","standing",0,0,1,2,2,0,0,0,0,0,0,1,2,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",4.3,"Other",0,"least concern","*"
"77","Sympetrum meridionale","Südliche Heidelibelle ","Libellulidae","Anisoptera",5.8,4.8,7.2,9.3,"Sympetrum sinaiticum Dumont, 1977","Sympetrum","Standing","No","Least Concern","No","No","meridionale","34,57145","55,27584","-0,12166","9,98883",1375,"Südliche Heidelibelle",1,1,1,"U","",11.3296451876595,11.0685721762637,2.85733204683329,25,27.5,"specialist","standing",0,0,2,2,2,0,0,0,0,0,1,2,0,2,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",3,"Larva",10,"least concern","*"
"78","Sympetrum pedemontanum","Gebänderte Heidelibelle ","Libellulidae","Anisoptera",28.5,14.4,7.3,9.1,"Sympetrum vulgatum (Linnaeus, 1758)","Sympetrum","Standing","No","Least Concern","No","No","pedemontanum","40,42720","62,43994","-0,70318","9,99715",833,"Gebänderte Heidelibelle",0.08,0.17,0.13,"U","",8.63906391924323,8.58191482621391,1.98511358346792,21,24.5,"specialist","standing, slow-flowing",0,0,2,2,0,2,2,0,0,0,0,2,0,1,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",3,"Larva",10,"endangered","2"
"79","Sympetrum sanguineum","Blutrote Heidelibelle ","Libellulidae","Anisoptera",85.8,74.2,7.3,8.3,"Trithemis annulata (Palisot de Beauvois, 1807)","Sympetrum","Standing","No","Least Concern","No","No","sanguineum","36,33565","62,45369","-0,01000","9,99715",2839,"Blutrote Heidelibelle",1,1,1,"U","",9.51513185991251,9.31889957751868,2.52946728697215,23,27,"generalist","standing, slow-flowing",0,2,2,2,0,2,2,2,0,2,0,0,2,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",3,"Egg",10,"least concern","*"
"80","Sympetrum striolatum","Grosse Heidelibelle ","Libellulidae","Anisoptera",61.4,50.2,8.1,9.2,"Trithemis festiva (Rambur, 1842)","Sympetrum","Standing","No","Least Concern","No","No","striolatum","34,57145","65,12956","-0,01000","9,99715",3053,"Große Heidelibelle",1,1.25,1.13,"U","",10.2883729364963,9.91920260487449,3.09877773108055,25,27,"generalist","standing, slow-flowing",1,1,2,2,0,1,1,0,0,0,0,2,2,0,"https://british-dragonflies.org.uk/odonata/habitats/",3,"Larva",10,"least concern","*"
"81","Sympetrum vulgatum","Gemeine Heidelibelle ","Libellulidae","Anisoptera",83.7,66.9,7.3,9.1,"Trithemis kirbyi Selys, 1891","Sympetrum","Standing","No","Least Concern","No","No","vulgatum","37,71866","66,47379","-0,16958","9,99715",2133,"Gemeine Heidelibelle",0.25,0.33,0.29,"U","",8.21094288083897,8.25370704751266,2.29967020999347,25.5,26.5,"generalist","standing",0,0,2,2,2,0,2,0,0,0,0,2,0,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",3,"Larva",10,"least concern","*"
